defect_id,entity,primary_key_value,category,error_code,field_name,defect_description,injected_value
1,products,PROD-00078,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00001
2,products,PROD-00005,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00002
3,products,PROD-00112,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00003
4,products,PROD-00259,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00004
5,products,PROD-00234,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00005
6,products,PROD-00192,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00006
7,products,PROD-00031,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00007
8,products,PROD-00317,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00008
9,products,PROD-00327,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00009
10,products,PROD-00342,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00010
11,products,PROD-00479,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00011
12,products,PROD-00316,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00012
13,products,PROD-00468,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00013
14,products,PROD-00248,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00014
15,products,PROD-00338,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00015
16,products,PROD-00250,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00016
17,products,PROD-00009,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00017
18,products,PROD-00004,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00018
19,products,PROD-00273,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00019
20,products,PROD-00283,Uniqueness,UNIQ_003,product_id,Duplicate product_id,PROD-00020
21,products,PROD-00218,Completeness,COMP_004,product_name,Empty product_name,
22,products,PROD-00010,Completeness,COMP_004,product_name,Empty product_name,
23,products,PROD-00012,Completeness,COMP_004,product_name,Empty product_name,
24,products,PROD-00285,Completeness,COMP_004,product_name,Empty product_name,
25,products,PROD-00388,Completeness,COMP_004,product_name,Empty product_name,
26,products,PROD-00147,Completeness,COMP_004,product_name,Empty product_name,
27,products,PROD-00288,Completeness,COMP_004,product_name,Empty product_name,
28,products,PROD-00153,Completeness,COMP_004,product_name,Empty product_name,
29,products,PROD-00269,Completeness,COMP_004,product_name,Empty product_name,
30,products,PROD-00435,Completeness,COMP_004,product_name,Empty product_name,
31,products,PROD-00376,Completeness,COMP_004,product_name,Empty product_name,
32,products,PROD-00364,Completeness,COMP_004,product_name,Empty product_name,
33,products,PROD-00228,Completeness,COMP_004,product_name,Empty product_name,
34,products,PROD-00431,Completeness,COMP_004,product_name,Empty product_name,
35,products,PROD-00486,Completeness,COMP_004,product_name,Empty product_name,
36,products,PROD-00097,Completeness,COMP_004,product_name,Empty product_name,
37,products,PROD-00059,Completeness,COMP_004,product_name,Empty product_name,
38,products,PROD-00491,Completeness,COMP_004,product_name,Empty product_name,
39,products,PROD-00054,Completeness,COMP_004,product_name,Empty product_name,
40,products,PROD-00281,Completeness,COMP_004,product_name,Empty product_name,
41,products,PROD-00086,Logic & Type,BIZ_001,price,Negative product price,-5.15
42,products,PROD-00135,Logic & Type,BIZ_001,price,Negative product price,-175.7
43,products,PROD-00109,Logic & Type,BIZ_001,price,Negative product price,-484.19
44,products,PROD-00349,Logic & Type,BIZ_001,price,Negative product price,-297.77
45,products,PROD-00296,Logic & Type,BIZ_001,price,Negative product price,-311.79
46,products,PROD-00141,Logic & Type,BIZ_001,price,Negative product price,-262.47
47,products,PROD-00454,Logic & Type,BIZ_001,price,Negative product price,-182.26
48,products,PROD-00196,Logic & Type,BIZ_001,price,Negative product price,-149.28
49,products,PROD-00149,Logic & Type,BIZ_001,price,Negative product price,-458.74
50,products,PROD-00444,Logic & Type,BIZ_001,price,Negative product price,-78.18
51,products,PROD-00219,Logic & Type,BIZ_001,price,Negative product price,-178.19
52,products,PROD-00047,Logic & Type,BIZ_001,price,Negative product price,-334.7
53,products,PROD-00206,Logic & Type,BIZ_001,price,Negative product price,-12.31
54,products,PROD-00223,Logic & Type,BIZ_001,price,Negative product price,-14.05
55,products,PROD-00255,Logic & Type,BIZ_001,price,Negative product price,-53.5
56,products,PROD-00318,Logic & Type,BIZ_001,price,Negative product price,-41.34
57,products,PROD-00136,Logic & Type,BIZ_001,price,Negative product price,-385.35
58,products,PROD-00391,Logic & Type,BIZ_001,price,Negative product price,-50.26
59,products,PROD-00127,Logic & Type,BIZ_001,price,Negative product price,-154.55
60,products,PROD-00167,Logic & Type,BIZ_001,price,Negative product price,-217.17
61,products,PROD-00384,Logic & Type,BIZ_001,price,Negative product price,-364.72
62,products,PROD-00460,Logic & Type,BIZ_001,price,Negative product price,-38.84
63,products,PROD-00472,Logic & Type,BIZ_001,price,Negative product price,-158.47
64,products,PROD-00048,Logic & Type,BIZ_001,price,Negative product price,-360.09
65,products,PROD-00367,Logic & Type,BIZ_001,price,Negative product price,-229.03
66,customers,CUST-09078,Completeness,COMP_002,email,NULL email,
67,customers,CUST-08639,Completeness,COMP_002,email,NULL email,
68,customers,CUST-03059,Completeness,COMP_002,email,NULL email,
69,customers,CUST-08369,Completeness,COMP_002,email,NULL email,
70,customers,CUST-07729,Completeness,COMP_002,email,NULL email,
71,customers,CUST-02603,Completeness,COMP_002,email,NULL email,
72,customers,CUST-00117,Completeness,COMP_002,email,NULL email,
73,customers,CUST-04293,Completeness,COMP_002,email,NULL email,
74,customers,CUST-07232,Completeness,COMP_002,email,NULL email,
75,customers,CUST-06500,Completeness,COMP_002,email,NULL email,
76,customers,CUST-07747,Completeness,COMP_002,email,NULL email,
77,customers,CUST-07130,Completeness,COMP_002,email,NULL email,
78,customers,CUST-06221,Completeness,COMP_002,email,NULL email,
79,customers,CUST-06208,Completeness,COMP_002,email,NULL email,
80,customers,CUST-00726,Completeness,COMP_002,email,NULL email,
81,customers,CUST-08721,Completeness,COMP_002,email,NULL email,
82,customers,CUST-02106,Completeness,COMP_002,email,NULL email,
83,customers,CUST-08853,Completeness,COMP_002,email,NULL email,
84,customers,CUST-08946,Completeness,COMP_002,email,NULL email,
85,customers,CUST-08113,Completeness,COMP_002,email,NULL email,
86,customers,CUST-04903,Completeness,COMP_002,email,NULL email,
87,customers,CUST-05259,Completeness,COMP_002,email,NULL email,
88,customers,CUST-08202,Completeness,COMP_002,email,NULL email,
89,customers,CUST-07320,Completeness,COMP_002,email,NULL email,
90,customers,CUST-01295,Completeness,COMP_002,email,NULL email,
91,customers,CUST-02120,Completeness,COMP_002,email,NULL email,
92,customers,CUST-00912,Completeness,COMP_002,email,NULL email,
93,customers,CUST-07744,Completeness,COMP_002,email,NULL email,
94,customers,CUST-05135,Completeness,COMP_002,email,NULL email,
95,customers,CUST-03402,Completeness,COMP_002,email,NULL email,
96,customers,CUST-01184,Completeness,COMP_002,email,NULL email,
97,customers,CUST-03525,Completeness,COMP_002,email,NULL email,
98,customers,CUST-06391,Completeness,COMP_002,email,NULL email,
99,customers,CUST-09101,Completeness,COMP_002,email,NULL email,
100,customers,CUST-05897,Completeness,COMP_002,email,NULL email,
